"dbpedia","city","temp","population","density","website","country_name","image","flag","currency"
"http://dbpedia.org/resource/Warsaw","Warsaw",8.5,3105883,3337.0,"http://www.um.warszawa.pl/en","Poland","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Warsaw.svg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Poland_(normative).svg?width=300","http://dbpedia.org/resource/Polish_złoty"
"http://dbpedia.org/resource/Santa_Cruz_de_la_Sierra","Santa Cruz de la Sierra",24.8,3102998,,"http://www.gmsantacruz.gob.bo/","Bolivia","http://commons.wikimedia.org/wiki/Special:FilePath/Santa_Cruz_Equipetrol.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Coat_of_arms_of_Bolivia.svg?width=300","http://dbpedia.org/resource/Bolivian_boliviano"
"http://dbpedia.org/resource/Guiyang","Guiyang",15.3,3037159,,"http://www.gygov.gov.cn/","China","http://commons.wikimedia.org/wiki/Special:FilePath/Guiyang_buildings.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_the_People%27s_Republic_of_China.svg?width=300","http://dbpedia.org/resource/Renminbi"
"http://dbpedia.org/resource/Ürümqi","Ürümqi",6.9,2988715,,"http://www.urumqi.gov.cn/","China","http://commons.wikimedia.org/wiki/Special:FilePath/Ürümqi_montage.png?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_the_People%27s_Republic_of_China.svg?width=300","http://dbpedia.org/resource/Renminbi"
"http://dbpedia.org/resource/Puebla_City","Puebla City",17.2,2929347,,"http://www.pueblacapital.gob.mx/","Mexico","http://commons.wikimedia.org/wiki/Special:FilePath/Bandera_de_Puebla_de_Zaragoza.png?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Mexico.svg?width=300","http://dbpedia.org/resource/Mexican_peso"
"http://dbpedia.org/resource/Santo_Domingo","Santo Domingo",25.9,2908607,,"http://adn.gob.do/","Dominican Republic","http://commons.wikimedia.org/wiki/Special:FilePath/SantoDomingoedit.JPG?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_the_Dominican_Republic.svg?width=300","http://dbpedia.org/resource/Dominican_peso"
"http://dbpedia.org/resource/Lisbon","Lisbon",17.5,2821876,,"http://www.cm-lisboa.pt/","Portugal","http://commons.wikimedia.org/wiki/Special:FilePath/Poster_Lisbon.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Portugal.svg?width=300","http://dbpedia.org/resource/Euro"
"http://dbpedia.org/resource/Mashhad","Mashhad",14.3,2782976,,"http://www.mashhad.ir/","Iran","http://commons.wikimedia.org/wiki/Special:FilePath/Mashhad.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Iran.svg?width=300","http://dbpedia.org/resource/Iranian_rial"
"http://dbpedia.org/resource/Tunis","Tunis",20,2643695,9406.01,"http://www.commune-tunis.gov.tn/publish/content/default.asp?lang=fr","Tunisia","http://commons.wikimedia.org/wiki/Special:FilePath/Tunis,_Tunisia.JPG?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Tunisia.svg?width=300","http://dbpedia.org/resource/Tunisian_dinar"
"http://dbpedia.org/resource/Vienna","Vienna",11.4,2600000,4326.1,"https://www.wien.gv.at/","Austria","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Wien.svg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Austria.svg?width=300","http://dbpedia.org/resource/Euro"
"http://dbpedia.org/resource/Ciudad_Juárez","Ciudad Juárez",17,2539946,7447.91,"http://www.juarez.gob.mx","Mexico","http://commons.wikimedia.org/wiki/Special:FilePath/Juarez_montage.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Mexico.svg?width=300","http://dbpedia.org/resource/Mexican_peso"
"http://dbpedia.org/resource/Nagpur","Nagpur",27,2497870,,"http://www.nmcnagpur.gov.in","India","http://commons.wikimedia.org/wiki/Special:FilePath/Futala_lake.jpg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_India.svg?width=300","http://dbpedia.org/resource/Indian_rupee"
"http://dbpedia.org/resource/Goiânia","Goiânia",23.2,2458504,1604.0,"http://www.goiania.go.gov.br","Brazil","http://commons.wikimedia.org/wiki/Special:FilePath/Montagem_-_Goiânia.jpg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Brazil.svg?width=300","http://dbpedia.org/resource/Brazilian_real"
"http://dbpedia.org/resource/Maracaibo","Maracaibo",28.7,2450559,,"http://www.alcaldiademaracaibo.gob.ve/","Venezuela","http://commons.wikimedia.org/wiki/Special:FilePath/BAND-V-Maracaibo.svg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Venezuela.svg?width=300","http://dbpedia.org/resource/Venezuelan_bolívar"
"http://dbpedia.org/resource/Bremen","Bremen",9.2,2400000,,"http://www.bremen.de/","Germany","http://commons.wikimedia.org/wiki/Special:FilePath/Bremen_montage.jpg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Germany.svg?width=300","http://dbpedia.org/resource/Euro"
"http://dbpedia.org/resource/Isfahan","Isfahan",16.2,2391738,,"http://www.isfahan.ir/","Iran","http://commons.wikimedia.org/wiki/Special:FilePath/Esfahan_Logo.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Iran.svg?width=300","http://dbpedia.org/resource/Iranian_rial"
"http://dbpedia.org/resource/Barranquilla","Barranquilla",26.9,2370753,,"http://www.barranquilla.gov.co/","Colombia","http://commons.wikimedia.org/wiki/Special:FilePath/Barranquilla_Montage.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Colombia.svg?width=300","http://dbpedia.org/resource/Colombian_peso"
"http://dbpedia.org/resource/La_Paz","La Paz",10.9,2364235,1861.24,"http://www.lapaz.bo/","Bolivia","http://commons.wikimedia.org/wiki/Special:FilePath/La_Paz_Photomontage_V1.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Coat_of_arms_of_Bolivia.svg?width=300","http://dbpedia.org/resource/Bolivian_boliviano"
"http://dbpedia.org/resource/Mannheim","Mannheim",10.85,2362046,,"http://www.mannheim.de/","Germany","http://commons.wikimedia.org/wiki/Special:FilePath/SchlossMannheimEHof.jpg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Germany.svg?width=300","http://dbpedia.org/resource/Euro"
"http://dbpedia.org/resource/Manaus","Manaus",26.7,2316173,173.858,"http://www.manaus.am.gov.br","Brazil","http://commons.wikimedia.org/wiki/Special:FilePath/Manaus,_AM,_Brasil.jpg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Brazil.svg?width=300","http://dbpedia.org/resource/Brazilian_real"
"http://dbpedia.org/resource/Linyi","Linyi",13.4,2303648,,,"China","http://commons.wikimedia.org/wiki/Special:FilePath/Confucius_Temple_of_Linyi.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_the_People%27s_Republic_of_China.svg?width=300","http://dbpedia.org/resource/Renminbi"
"http://dbpedia.org/resource/Bucharest","Bucharest",10.8,2272163,8260.0,"http://www1.pmb.ro/pmb/index_en.htm","Romania","http://commons.wikimedia.org/wiki/Special:FilePath/ROU_Bucharest_Flag.png?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Romania.svg?width=300","http://dbpedia.org/resource/Romanian_leu"
"http://dbpedia.org/resource/Belém","Belém",25.9,2249405,1322.0,"http://www.belem.pa.gov.br","Brazil","http://commons.wikimedia.org/wiki/Special:FilePath/Montagem_Belém.jpg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Brazil.svg?width=300","http://dbpedia.org/resource/Brazilian_real"
"http://dbpedia.org/resource/Patna","Patna",25.3,2231554,16925.0,"http://patna.bih.nic.in","India","http://commons.wikimedia.org/wiki/Special:FilePath/Patna_Montage_2014.jpg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_India.svg?width=300","http://dbpedia.org/resource/Indian_rupee"
